note_id,note_text
"152","Bus diverts via Stony Creek Rd, omitting Shane Park Rd"
"153","Bus commences from Old Sackville Rd near Copeland Rd 3 minutes earlier"
"1551","Public school days bus diverts via Pye Rd, omitting Chase Dr"
"159","Public school days bus diverts from Lethbridge Ave via Heavey St, Burton St & Charles Sturt Dr, omitting John Oxley Ave between Heavey St & Charles Sturt Dr"
"162","Public school days bus diverts via Meadlow Dr to Quakers Rd, omitting part of Chaplin Cr"
"163","Public school days bus diverts from corner Rifle Range Rd & Porpoise Cres via Rifle Range Rd, Collith Ave, Harpur Cres, Mileham St, Rifle Range Rd & Sirius Rd to Colonial Dr"
"165","Bus continues via Thurwood Ave, Glenbrook St & Ikin St to corner of Enfield St"
"166","Bus continues to Old Sackville Rd near Copeland Rd, arriving 3 minutes later"
"169","Bus commences from Bowen Mountain Rd near Wattle St 5 minutes earlier"
"170","Bus operates via Cranebrook Village Shopping Centre public school holidays only. Public school days bus diverts via Hosking St, omitting Cranebrook Shops"
"1727","On public school days, bus commences at corner of George St & Catherine St at time shown"
"1729","Change to School Bus 5024 for travel to Windsor"
"173","Public school days bus diverts from George St via Ham St, Church St, Rickaby St, George St, Woods Rd & Mileham St to Rifle Range Rd, omitting George St & Rifle Range Rd between Ham St & Mileham St"
"1730","Trip commences 2 minutes earlier from Lamb St & Adrienne St"
"1731","Catch route 675A/675C/676 at time shown and change buses to continue journey"
"1732","Bus commences from Norwest Blvd & Lexington Ave 2 minutes earlier"
"1733","Bus commence from  Norwest Bvld & Lexington Ave 3 mins earlier"
"1734","Bus operates to/from Windsor via Hawkesbury Valley Way"
"1735","Bus continues to Norwest Bvld & Lexington Ave"
"1736","Public school days bus diverts from North Parade via Rooty Hill Rd Nth, Spencer St, Kimberley St and Railway St to Francis Rd, omitting the stop at Rooty Hill RSL on Sherbrooke St"
"1739","Bus diverts public school days from Monash Rd via Lancaster St, Kildare Rd & Walters Rd to Newton Rd omitting part of Newton Rd. Public school holidays bus operates through timing point 10 minutes later than time shown"
"1743","Bus operates to Pitt Town Shopping Village via Wolseley Rd, Old Stock Route Rd, Scheyville Rd, Old Pitt Town Rd, Glebe Rd, Bathurst St & Chatham St, omitting part of Pitt Town Rd"
"1744","Bus stops opposite Avina Van Village & operates via Chapman Rd & Windsor Rd to Junction Rd"
"1773","Catch Route 671 at times shown & change buses at corner Pitt Town Rd & Wolseley Rd to continue journey"
"1784","Rouse Hill loop service. Bus operates from Rouse Hill Town Centre direct via Windsor Rd & Mile End Rd, then returns via normal Route 735 to Rouse Hill Town Centre"
"179","Bus commences in Hyatts Rd at time shown"
"180","Public school days bus operates through timing point 5 minutes earlier than time shown"
"186","Bus commences from Wakely Av & Mosaic Av 2 minutes earlier or continues to Wakely Av & Mosaic Av"
"191","From Glenmore Park Shops, bus operates direct via Glenmore Pkwy to St Andrews Dr. Passengers for Woodlands Rd, Shearwater Dr, Ridgetop Dr & Glengarry Dr should stay on bus & alight on return journey"
"198","Bus operates via Eastern Creek Industrial Area. Join service on eastern side of Reservoir Rd"
"2001","Bus Operates via McCulloch, Elizabeth & Piccadilly Streets, omitting Garfield Rd East between McCulloch and Piccadilly Streets"
"2002","Public school days bus diverts from Richmond Rd via Davis, Crudge & Breakfast Rds, omitting part of Richmond & Breakfast Rds"
"2003","Bus operates via Elara Blvd, Richmond Rd, Excelsior Ave, Fermoy Rd, Garfield Rd West"
"2004","Bus diverts from Old Pitt Town Rd via Mason Rd, Terry Rd and Hynds Rd, omitting Nelson Rd between Mason Rd & Edwards Rd"
"2005","Public school days bus diverts from Andromeda Dr via Goldmark Cres (1st crossing) to Marrett Way, omitting Andromeda Dr & Goldmark Cres between Goldmark Cres (1st crossing) & Marrett Way.T"
"2006","Bus operates from Garfield Rd West via Robert St, Walker Pde, Cleveland Rd, Farm Rd, Park Rd, Robert Rd, Returning to Garfield Rd West"
"206","Bus operates via Eastern Creek Industrial Area, omitting Holbeche Rd between Walters Rd & Reservoir Rd"
"209","Bus diverts from Pitt Town Rd via Pitt Town Bottoms Rd & Bathurst St to Bootles Ln, omitting Pitt Town Rd & Bathurst St between Pitt Town Bottoms Rd & Bootles Ln"
"212","Bus diverts via Eldon St to Old Pitt Town Rd, omitting Glebe Rd"
"214","Bus commences from Richmond Rd & Copeland St 1 minutes earlier"
"216","Bus diverts from The Northern Rd via Cranebrook Rd, Taylor Rd, Nutt Rd & Torkington Rd, omitting Londonderry Rd between Cranebrook Rd & Torkington Rd"
"218","Bus diverts from St Marys Rd via Government Rd, Spence Rd, Llandilo Rd, Second Rd & St Marys Rd to Richmond Rd"
"219","Bus diverts public school days from Newton Rd via Walters Rd, Kildare Rd & Lancaster St to Monash Rd (or vice versa), omitting part of Newton Rd"
"220","Bus diverts via Stony Creek Rd, Shane Park Rd, Whites Rd, South Creek Rd, Eighth Ave, Second Ave, Seventh Ave, Third Ave, Eighth Ave, South Creek Rd & Palmyra Ave"
"223","Public school days bus stops opposite Cranebrook Village Shopping Centre on Borrowdale Way"
"224","Bus commences at Bougainville Rd near Luxford Rd 2 minutes earlier"
"225","Bus operates via Reservoir Rd direct from Bungarribee Rd to Penny Pl"
"227","Bus operates via Horsley Park. For travel to Eastern Creek Business Park, remain on bus to Horsley Park & alight on return journey"
"23","Bus diverts public school days from Monash Rd via Lancaster St, Kildare Rd & Walters Rd to Newton Rd omitting part of Newton Rd"
"234","Public school days bus diverts from corner Saddington St & Mamre Rd via Saddington St,Pages Rd, Charles Hackett Dr & Queen St or vice versa, omitting Mamre Rd & Queen St between Saddington St & Charles Hackett Dr"
"235","Bus diverts public school days via Third Ave, Prince St, Fifth Ave & Sackville St to Stephen St, omitting Gordon St, Sydney St & part of Stephen St, or vice versa"
"236","Public school days bus diverts from Richmond Rd via Cox Ave & Phillip St, omitting Copeland St between Richmond Rd & Phillip St"
"237","Bus operates from Kurrajong Rd via March St direct & East Market St to Richmond Station"
"238","Public schoool days bus diverts from corner Banks Dr & Endeavour Ave via Moore St & Endeavour Ave (or vice versa), omitting Endeavour Ave between Banks Dr & Moore St"
"240","Bus diverts from Bells Line Of Rd via Charles St, William St, Campbell St, Pecks Rd to Ron Middleton VC Gardens, then returns via same route to Bells Line of Rd"
"243","Blacktown Hospital Diversion. Bus operates to Bungarribee Rd & Lock St via Newton Rd, Main St, Marcel Cres & Panorama Pde in lieu of Patrick St South & Bungarribee Rd"
"244","Bus operates from Wolseley Rd via Pitt Town Rd to Old Hawkesbury Rd, omitting Plimsoll St"
"245","Minchinbury Industrial Area diversion. Bus operates via Coates St, Great Western Hwy, Colyton Rd, Sterling Rd, Sargents Rd, Archbold Rd to Robinson St (or vice versa) omitting Miller St, George St and Archbold Rd between Great Western Hwy and Robinson St"
"246","Service operates Friday nights only"
"247","Bus continues full length of Captain Cook Dr and terminates corner of Palmyra Av"
"248","Public school days bus operates from Carlisle Ave to Mt Druitt Station South Side (Coates St) via Beams Ave"
"250","Public school days bus diverts from Kildare Rd via Blue Hills Cres back to Kildare Rd, omitting the stop on Kildare Rd between the two Blue Hills Cres"
"253","Bus operates from Kurrajong Rd via Chapel St, Windsor St, West Market St, March St & East Market St to Richmond Station"
"254","Bus diverts via Hatherton Rd, Forrester Rd & Ellsworth Dr to Rymill Rd, then travels via Rymill Rd to Hatherton Rd"
"255","Bus stops at Pitt Town Shopping Village side of Eldon St, opposite normal bus stop, then diverts via Eldon St to Old Pitt Town Rd, omitting Glebe Rd"
"257","Bus operates via Grose Vale Rd, Pecks Rd, Arthur Phillip Dr to Ron Middleton VC Gardens, then returns to North Richmond via Arthur Phillip Dr, Pecks Rd, Campbell St & William St"
"258","Bus operates direct via Stanhope Pkwy, omitting Ridgeline Dr, Riverbank Dr & The Ponds Blvd"
"259","Bus continues from Kurrajong via Grose Vale Rd, Bells Rd & Grose Vale Rd"
"26","Bus diverts public school days from corner of Sackville St & Stephen St via Sackville St, Fifth Av, Prince St & Third Av to Blacktown Station, omitting part of Stephen St, Sydney St & Gordon St"
"260","Bus diverts via Richmond schools, omitting Windsor St between Richmond Station & Bosworth St"
"263","Bus operates to Riverstone Station via Riverstone Schools, omitting Crown St between Hamilton St & Riverstone Pde, and Riverstone Pde"
"269","Willmot loop service. Sets down passengers for Captain Cook Dr on return journey"
"270","Bus commences from Windsor High School (Mulgrave Rd) 4 minutes earlier, operating via Windsor Rd, McGraths Rd & Old Hawkesbury Rd to Meares Rd"
"272","Public school days bus diverts via Rooty Hill Rd South, Cawarra St, Great Western Hwy &  Beaconsfield Rd, omitting Evans Rd and Beaconsfield Rd between Rooty Hill Rd South & Gardner St"
"274","Bus commences from Rosenthal St near Douglas Rd 3 minutes earlier \ continues to Rosenthal St near Douglas Rd"
"279","Bus operates from Pitt Town Rd via Old Hawkesbury Rd to Meares Rd, omitting Plimsoll St & Wolseley Rd"
"281","Bus operates via Flushcombe Rd direct between Fullam Rd & Bungarribee Rd, omitting Fullam Rd, Lock St & part of Bungarribee Rd"
"283","Bus departs from opposite Riverstone Station on Riverstone Pde & operates to Junction Rd & Windsor Rd via Riverstone schools, omitting Riverstone Pde & Crown St between Hamilton St & Riverstone Pde"
"284","Bus operates from Buckwell Dr via Luxford Rd & Carlisle Ave to Mt Druitt"
"286","Public school days bus diverts from Lethbridge Ave via Heavey St, Burton St & Victoria St, omitting Lethbridge Ave between Heavey St & Victoria St"
"287","Public school days bus diverts via South Blacktown schools to corner Newton Rd and Allawah St, omitting Westpoint Tunnel and the stop on Newton Rd at Kirkman Rd. Public school holidays bus operates through timing point 10 minutes later than time shown"
"30","Bus commences from corner Luxford Rd & Kidd Cl 2 minutes earlier"
"33","Bus operates via Windsor Rd direct"
"41","Public school days bus operates via Griffiths St, Viney St, Maple Rd, Debrincat Ave, Aurora Dr, Ellsworth Dr, Forester Rd & Ropes Crossing Bvd, omitting Forrester Rd between Griffiths St & Links Rd"
"44","A change of buses is required to continue journey"
"49","Public school days bus diverts from Carlisle Ave via Ropes Creek Rd, Mt Druitt Rd & Great Western Hwy to Carlisle Ave, then via normal route, omitting Carlisle Ave between Ropes Creek Rd & Great Western Hwy"
"53","Bus operates via Richmond Rd direct to Hill End Rd, omitting Breakfast Rd, Terrigal St, Tambaroora Rd, Falmouth Rd, Tallagandra Dr & Quakers Hill Pkwy"
"56","Public school days bus diverts from Mulgoa Rd via Jeanette St & School House Rd, omitting Mulgoa Rd between Jeanette St & School House Rd"
"57","Public school holidays bus operates through timing point 5 minutes later than time shown"
"58","Bus commences from Trinity Dr & Grange Cres 5 minutes earlier"
"59","Bus diverts from Llandilo Rd via Second Rd & St Marys Rd to Richmond Rd"
"63","Public school holidays bus operates through timing point 10 minutes later than time shown"
"65","Bus operates public school holidays only"
"66","Bus operates via Derby St, omitting Castlereagh St, Lethbridge St & Colless St"
"68","Bus continues to Southee Rd & Castlereagh Rd, arriving 2 minute later"
"69","Bus operates public school days only"
"72","Bus operates from Weir Rd via Farnsworth Ave to Silverdale Rd, omitting Warradale Rd, Marsh Rd & part of Silverdale Rd. Passengers from Silverdale to Penrith should join bus on outward journey"
"73","Bus operates via Luxford Rd direct, omitting Samarai Rd, Moresby Cres & Gasmata Cres"
"77","Hassall Grove loop service. Bus operates from Pringle Ave via Jersey Rd to Hyatts Rd, then returns to Mt Druitt via normal Route 754"
"78","Public school days bus diverts from Derby St via Doonmore St, High St, Lawson St, Henry St & Station St to Penrith Interchange, omitting Derby St & Station St between Doonmore St & Henry St"
"80","Public school holidays bus operates via Derby St, omitting Castlereagh St, Lethbridge St & Colless St"
"82","Public school days, bus operates via Luxford Rd, Halmahera Cres, Bougainville Rd & Copeland Rd, omitting Bougainville Rd between Luxford Rd & Copeland Rd"
"84","Bus commences from corner Glenwood Park Dr & Silkyoak Cl one minute earlier"
"87","Public school days bus diverts from Station St via Derby St, Castlereagh St, Lethbridge St & Colless St to Jamison Rd, omitting High St, part of Castlereagh St, Stafford St, Evan St & part of Jamison Rd"
"89","Public school days bus diverts via Evan St, High St & Lawson St, omitting Henry St between Macquarie St & Lawson St"
"90","Bus operates to Kurrajong Shopping Village first, then returns via Kurrajong Rd & Old Bells Line of Rd"
"93","Bus operates via Riverstone industrial area"
"94","Bus operates from St Marys Station (north side) at time shown"
"96","Public school days bus diverts from The Lakes Dr & Bija Dr via The Lakes Dr, Kutmut St & Muru Dr, omitting Bija Dr"
"97","Catch Route 668 at times shown & change buses at Wilberforce Primary School to continue journey"
"98","Public school days bus operates via Elizabeth St, omitting William St"
"992","Bus operates via Richmond Rd, George St & Rifle Range Rd to Bede Polding College. Change buses to Route 675A to continue journey"
"0k","Operates to Spaniards Main via Menangle Rd & returns to Campbelltown via Menangle Park"
"0O","Turns left into Kellicar, Hurley direct to Campbelltown station"
"1058","On school days bus operates via Route 891 through Currans Hill"
"2266","Terminates at 139 Cowpasture Rd"
"2267","via Oran Park prior to arriving Gregory Hills"
"2268","Terminates at the corner of Lancia Dr and Chester Rd"
"2279","Terminates Oran Park Town Centre"
"2284","Operates to and from Minto Marketplace"
"2308","Bus does not operate via Reserve Rd on School Days"
"2314","Terminates 155 Cowpasture Rd"
"2326","via Carrington Hospital"
"2332","Continues to Long Point"
"2333","via Reserve Rd and Graham Ave to Hume Hwy"
"2334","via Bligh Ave"
"2335","via Casula High School"
"2337","Diverts via Harold St to and from Macquarie Fields HS"
"2338","Operates through Smeaton Grange via Hartley Rd, Orielton Rd & Smeaton Grange Rd"
"2340","Diverts to and from Macquarie Fields HS"
"2349","Operates to and from John Therry High School"
"2350","Departs from Stand B. Combined Route 884-885 service operating via Airds then Bradbury"
"2351","via Leacocks Ln"
"2352","Diverts via Middleton Grange Public School"
"2356","via Campbelltown HS then, Moore, Oxley, Dumaresq to Hurley"
"2361","via Macquarie Fields HS"
"2362","Next Stop Horningsea Park Dr bf Camden Valley then all stops to Liverpool"
"2365","Friday only"
"2366","via Burragorang Rd, NOT via The Oaks Shops"
"2367","Direct via Burragorang Rd between Oakdale and The Oakes"
"2369","Does not stop along Jedda Rd or Hill Rd"
"2370","Monday to Thursday only"
"2373","via Casula HS"
"2376","via St. Johns PS & Campbelltown HS"
"2377","Direct via Burragorang Rd"
"2378","Diverts via Sackville St, Collins Prom, Oxford Rd, Cumberland Rd & Norfolk St"
"2380","Does not pick up on Merino Cres between Akuna Ave & Greengate Rd"
"2383","Not via Cobbitty Rd"
"2384","Connects with 855 to Liverpool"
"2385","via Cawdor Rd and Burragorang to & from Camden. Not via Werombi Rd or Mayfarm Rd"
"2391","Terminates at Mt Annan Market Place, Main Street"
"2394","Diverts via Burrendong Rd to Leumeah Public School"
"2396","Direct via Werombi Rd"
"2403","via Cawdor Rd Westbrook Rd & Fosters Lane to/from Burragorang Rd. Not via Werombi Rd & Mayfarm Rd"
"2406","Continues Copperfield Dr then Via Appin Rd, Woodland Rd & St Helens Park ommitting Fitzgibbon Ln"
"2411","Diverts via Casula PS"
"2414","Departs from Camden Valley Way adjacent to Narellan Town Centre"
"2416","via Hill Rd direct to Hillview Pde & diverts via Lurnea HS"
"2417","Diverts via Thomas Hassall Anglican College"
"2418","Stops Opp Macarthur Sq on Gilchrist Dr"
"2421","On return to station, trip operates directly along Broughton St"
"2424","Friday onlyOn return to station, trip operates directly along Broughton St"
"2425","Stops at Macarthur Sq on Gilchrist Drive"
"2426","This trip operates differently during School Holidays"
"2429","via Macquarie Links Dr to Governors Way roundabout"
"2430","via Campbelltown Hospital"
"2434","via Durham Green Retirement Village"
"2435","Turns left into Kellicar direct to station"
"2436","Direct via Cordeaux St and Railway St, not via Dumaresq St"
"2437","Railway, (L) Salisbury, (R) Newtown, (L) Harrow, (L) Canterbury, (R) Belmont         via Harrow Rd"
"2438","Diverts via St Johns Rd & The Parkway loop to Akuna Ave"
"2441","via Elderslie HS"
"2449","via Oxford Rd, Bugatti Dr (Not Cumberland, Chester, or RSL)"
"2450","Amalfi, (R) Graham, (L) Webster, (R) Hillview"
"2451","via Greengate Rd & Merino Cres"
"2453","Departs Long Point at 06:29 and 07:11"
"2467","Diverts via Campbelltown PS and St John The Evangelist PS"
"2469","Turns right into Narellan Rd, not via Macarthur Sq"
"2472","Via Sackville St Primary School. Not via Cumberland Rd"
"2473","Bus turns right into Narellan Rd. Not via Macarthur Sq"
"2475","Terminates West Side of Campbelltown Station. Not via Macarthur Sq"
"2476","Direct to Camden via Cawdor Rd"
"2477","Toggerai, (L) Illawarra, (L) Church   Turns right into Kellicar direct to station"
"2478","Turns right into Narellan Rd, Not via Macarthur Sq"
"2480","Diverts left Braidwood Dr, left Corfield Rd then normal route"
"2483","via Hurley St, Kellicar Rd, left Gildchrist Dr. Not via Macarthur Sq"
"2484","via Smeaton Grange via Hartley Rd, Orielton Rd & Smeaton Grange Rd"
"2485","Diverts right into Braidwood Dr then normal route from Wroxham St"
"2486","via Farnsworth, Warradale and Marsh during School Term"
"2487","via John St, Broughton St & Menangle Rd"
"2488","via Cordeaux St & Railway St to Campbelltown Station. Not via Dumaresq St"
"2489","via Cordeaux St & Railway St  to Campbelltown Station. Not via Dumaresq St"
"2490","Continues into Braidwood Dr then left Corfield Rd"
"2491","via Appin Rd & St Johns Rd from Campbelltown to The Parkway at Kippara Pl bypassing Lawn Ave & Jacaranda Ave"
"2492","via Woodbridge Rd, Menangle Rd, Finns Rd & Carolls Rd to Quirks Lane"
"2493","Bus stops Casula Mall, Ingham Dr. Then (R) Myall, (L) Box, (R) Pine, (R) Beech to Kurrajong Rd on School Days Only"
"2494","Direct via Werombi Rd to Camden"
"2495","Service picks up Gledswood Hills PS students"
"2496","Turns right into Narellan Rd, via Smeaton Grange via Hartley Rd, Orielton Rd & Smeaton Grange Rd"
"2497","via route 872 (Parkhill Ave) between Pembroke Rd and Townson Ave"
"2499","Does not operate into University of Wollongong"
"2501","Diverts via Burragorang Rd. via Camden Rd & Argyle St to Camden"
"2502","via Canterbury Rd, Harrow Rd, Newtown Rd, Salisbury Av & Railway Pde to Glenfield Station"
"2503","via Cawdor Rd & Argyle St to/from Camden"
"2504","Continues Eastwood Rd then left Heath Rd, left Rickard Rd to Leppington Station"
"2505","via Camden Valley Way, Hume Hwy, (R) Leococks Ln, (R) Hume Hwy on School Days only"
"2506","via St Andrews then to Minto Marketplace"
"2507","via Broughton St, Hurley St directly to Campbelltown Station"
"2508","via Cordeaux St & Railway St. Not via Dumaresq St"
"2509","via Reserve Rd & Graham Ave on School Days Only"
"2510","via Cawdor Rd & Argyle St, via Quirks Lane via Woodbridge Rd, Menangle Rd, Finns Rd & Carolls Rd to/from Camden"
"2511","via Lurnea HS"
"2512","Combined service via route 874, left Stranraer Dr then via route 875"
"2513","Combined Route 883/883K service. via Kentlyn to Campbelltown Station"
"2515","Departs from Stand B. Operates to Campbelltown Station via Cordeaux St & Railway St"
"2518","This service skips Kelvin Park Drive"
"2519","via Reserve Rd & Graham"
"2520","Turns right into Kellicar Rd, Hurley St dierct to Campbelltown Station"
"2521","via Burrendong Rd & Wyangala Cres. Not via Rose Payten Dr"
"2522","Bus turns right into Narellan Rd, Not via Macarthur Sq. Diverts through Smeaton Grange via Hartley Rd, Orielton Rd & Smeaton Grange Rd"
"2523","Operates to Campbelltown Station via Cordeaux St & Railway St. Not via Dumaresq St"
"2524","Connects with 883K for travel to Campbelltown from cnr Georges River Rd & Wheatley at 19:11"
"2525","via Broughton Anglican College"
"2526","via Leacocks Lane"
"2527","Operates via Riverside Dr loop prior to travelling to Wedderburn.  Not via Briar Rd"
"2530","via Cawdor Rd and Burragorang Rd to & from Camden. Not via Werombi Rd or Mayfarm Rd"
"2531","via Menangle Park"
"2532","Departs from Stand B (Nightsafe Stand)"
"2533","Turns right into Narellan Rd. Not via Macarthur Sq"
"2538","Direct via Kellicar, Hurley to Campbelltown Station"
"2540","via Fourth Ave"
"2567","Stops on Gilchrist Opp Macarthur Sq then, Then from Hertitage Way, Right onto Glen Alpine Dr then left back onto Heritage Way"
"2568","Turns right onto Glen Alpine Dr then left back onto Heritage Way during School Days Only"
"2575","This service picks up Hoxton Industries Employees"
"2597","Pick Up for Lurnea HS opp School Hillview, (L) Webster, (R) Graham"
"990","School Days Only"
"1186","Operates Friday ONLY"
"1189","Bus operates directly to Liverpool Station via Moore St. (R) Park St, (L) Moore St - does not pass Westfields Liverpool"
"1190","Bus operates direct to Liverpool Station via Moore St. (R) Park Rd, (L) Moore St - does not pass Westfields Liverpool"
"1194","Bus commences from Fairfield Road & McCredie Road 2 minutes earlier"
"1195","Bus terminates at Fairfield Road & McCredie Road 2 minutes later"
"1315","Bus continues to Parramatta as route 811"
"1319","Bus continues to Parramatta as route 811X"
"1647","Via Busby, (L) Cartwright, (L) Heckenberg. NOT via Miller Shops"
"1650","Via Heckenberg, (R) Cartwright, (R) Busby. NOT via Miller Shops"
"1758","Does not operate during school vacation"
"1849","Divert via Cardinal Gilroy Village from Fowler,  (L) Barcom to Village bus bay"
"1850","Divert via Cardinal Gilroy Village from Fowler,  (R) Barcom to Village bus bay"
"2455","Continue Miller, (L) Cabramatta, (R) Cartwright (Does NOT operate via Miller Shops)"
"2456","&TD Memorial, (L) Hume, (R) Moore  &TP Bus operates directly to Liverpool Station via Moore St and does not pass Westfield in Elizabeth St or Liverpool Hospital"
"2457","Cartwright, (L) Cabramatta, (R) Miller, (L) Cartwright (Does NOT operate via Miller Shops)"
"2459","&TD Sinclair, (L) Maxwells, (R) Elizabeth, (R) Park, (L) Moore  (NOT via Westfields)  &TP Direct to Liverpool Station via Moore St. Does NOT operate to Westfields"
"2615","Trip operates on School Days only"
"2643","&TDON TIME RUNNING MIDPOINT ABOVE Cartwright, (L) Cabramatta, (R) Miller, (L) Cartwright (Does NOT operate via Miller Shops)  &TPCartwright, (L) Cabramatta, (R) Miller, (L) Cartwright (Does NOT operate via Miller Shops)"
"2645","&TDON TIME RUNNING MIDPOINT ABOVE Divert via Cardinal Gilroy Village from Fowler,  (R) Barcom to Village bus bay  &TPDivert via Cardinal Gilroy Village from Fowler,  (R) Barcom to Village bus bay"
"2646","&TDON TIME RUNNING MIDPOINT ABOVE Cartwright, (L) Cabramatta, (R) Miller, (L) Cartwright (Does NOT operate via Miller Shops) &TPCartwright, (L) Cabramatta, (R) Miller, (L) Cartwright (Does NOT operate via Miller Shops)"
"2648","Operates direct to Liverpool Station via Moore St. Not via Westfields Reservoir, (L) Elizabeth, (R) Park, (L) Moore (Not via Westfields)"
"2659","Trip does NOT extend or deviate in School Vacation"
"2660","Trip extends or deviates on School Days ONLY"
"960","Bus continues to Guildford along Route 821"
"965","Bus operates direct via Cartwright Ave"
"974","Bus continues to Merrylands as route 809"
"1422","Diverts via Gribbenmount Rd, Knights, Bevans, Crosslands, Galston Rds. Omits bus stop on Arcadia Rd between Gribbenmount Rd and Galston Rd"
"1425","Diverts via Northolm Grammar (School Days)"
"1427","Diverts via Tara Anglican School for Girls (School Days)"
"1429","Diverts via St Anthonys PS and Carinya Rd, omitting stops in Targo Rd"
"1519","Diverts via Mountainview Retreat Retirement Village"
"1522","Diverts via Galston High School (School days only)"
